DATE,MBCURRCIR
1959-01-01,31600.0
1959-02-01,31200.0
1959-03-01,31300.0
1959-04-01,31400.0
1959-05-01,31600.0
1959-06-01,31900.0
1959-07-01,32100.0
1959-08-01,32100.0
1959-09-01,32100.0
1959-10-01,32100.0
1959-11-01,32300.0
1959-12-01,32800.0
1960-01-01,32100.0
1960-02-01,31700.0
1960-03-01,31700.0
1960-04-01,31800.0
1960-05-01,31800.0
1960-06-01,32000
1960-07-01,32200.0
1960-08-01,32200.0
1960-09-01,32200.0
1960-10-01,32300.0
1960-11-01,32500.0
1960-12-01,33100.0
1961-01-01,32400.0
1961-02-01,31900.0
1961-03-01,31900.0
1961-04-01,32000.0
1961-05-01,32100.0
1961-06-01,32300.0
1961-07-01,32700.0
1961-08-01,32600.0
1961-09-01,32800.0
1961-10-01,32900.0
1961-11-01,33300.0
1961-12-01,34000.0
1962-01-01,33400.0
1962-02-01,32900.0
1962-03-01,33100.0
1962-04-01,33300.0
1962-05-01,33400.0
1962-06-01,33700.0
1962-07-01,34100.0
1962-08-01,34000.0
1962-09-01,34100.0
1962-10-01,34200.0
1962-11-01,34600.0
1962-12-01,35300.0
1963-01-01,34700.0
1963-02-01,34300.0
1963-03-01,34500.0
1963-04-01,34800.0
1963-05-01,34900.0
1963-06-01,35400.0
1963-07-01,35800.0
1963-08-01,35900.0
1963-09-01,36000.0
1963-10-01,36200.0
1963-11-01,36700.0
1963-12-01,37700.0
1964-01-01,37000.0
1964-02-01,36500.0
1964-03-01,36700.0
1964-04-01,37000.0
1964-05-01,37200.0
1964-06-01,37600.0
1964-07-01,38000.0
1964-08-01,38100.0
1964-09-01,38300.0
1964-10-01,38400.0
1964-11-01,39000.0
1964-12-01,39800.0
1965-01-01,39100.0
1965-02-01,38700.0
1965-03-01,38800.0
1965-04-01,39000.0
1965-05-01,39100.0
1965-06-01,39600.0
1965-07-01,40100.0
1965-08-01,40200.0
1965-09-01,40400.0
1965-10-01,40800.0
1965-11-01,41400.0
1965-12-01,42300.0
1966-01-01,41700.0
1966-02-01,41300.0
1966-03-01,41500.0
1966-04-01,41700.0
1966-05-01,41900.0
1966-06-01,42400.0
1966-07-01,42900.0
1966-08-01,43000.0
1966-09-01,43100.0
1966-10-01,43200.0
1966-11-01,43800.0
1966-12-01,44600.0
1967-01-01,44100.0
1967-02-01,43600.0
1967-03-01,43700.0
1967-04-01,43900.0
1967-05-01,44100.0
1967-06-01,44600.0
1967-07-01,45100.0
1967-08-01,45100.0
1967-09-01,45300.0
1967-10-01,45500.0
1967-11-01,46000.0
1967-12-01,47000.0
1968-01-01,46500.0
1968-02-01,45900.0
1968-03-01,46200.0
1968-04-01,46700.0
1968-05-01,46900.0
1968-06-01,47600.0
1968-07-01,48100.0
1968-08-01,48300.0
1968-09-01,48500.0
1968-10-01,48700.0
1968-11-01,49500.0
1968-12-01,50700.0
1969-01-01,49900.0
1969-02-01,49300.0
1969-03-01,49500.0
1969-04-01,49800.0
1969-05-01,50000.0
1969-06-01,50800.0
1969-07-01,51300.0
1969-08-01,51400.0
1969-09-01,51500.0
1969-10-01,51800.0
1969-11-01,52600.0
1969-12-01,53700.0
1970-01-01,52800.0
1970-02-01,52200.0
1970-03-01,52500.0
1970-04-01,52900.0
1970-05-01,53600.0
1970-06-01,54200
1970-07-01,54800.0
1970-08-01,54900.0
1970-09-01,55000.0
1970-10-01,55200.0
1970-11-01,55900.0
1970-12-01,57100.0
1971-01-01,56300.0
1971-02-01,55800.0
1971-03-01,56200.0
1971-04-01,56800
1971-05-01,57200.0
1971-06-01,58000.0
1971-07-01,58900.0
1971-08-01,59000.0
1971-09-01,59100.0
1971-10-01,59300.0
1971-11-01,60000.0
1971-12-01,61100.0
1972-01-01,60200.0
1972-02-01,59700.0
1972-03-01,60100.0
1972-04-01,60700.0
1972-05-01,61200.0
1972-06-01,61900.0
1972-07-01,62700.0
1972-08-01,62700.0
1972-09-01,62900.0
1972-10-01,63400.0
1972-11-01,64500.0
1972-12-01,66100.0
1973-01-01,65300.0
1973-02-01,64600.0
1973-03-01,65100.0
1973-04-01,66100.0
1973-05-01,66700.0
1973-06-01,67600.0
1973-07-01,68400.0
1973-08-01,68400.0
1973-09-01,68600.0
1973-10-01,68900.0
1973-11-01,70000.0
1973-12-01,71700.0
1974-01-01,71000.0
1974-02-01,70400.0
1974-03-01,71100.0
1974-04-01,72200.0
1974-05-01,72900.0
1974-06-01,73800.0
1974-07-01,74600.0
